scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
disconnect_weak,8,pooled_batch16,0.131,5,10,0,17301504,16777216
disconnect_weak,8,unpooled,0.166,17,17,0,17301504,16777216
disconnect_weak,9,batched,0.102,8,8,0,17301504,16777216
disconnect_weak,9,pooled_batched,0.104,4,8,0,17301504,16777216
disconnect_weak,9,pooled_batch8,0.105,4,7,0,17301504,16777216
disconnect_weak,9,pooled_batch16,0.132,5,10,0,17301504,16777216
disconnect_weak,9,unpooled,0.163,17,17,0,17301504,16777216
disconnect_weak,9,pooled,0.155,5,17,0,17301504,16777216
disconnect_weak,10,pooled_batched,0.099,4,8,0,17301504,16777216
disconnect_weak,10,pooled_batch8,0.099,5,7,0,17301504,16777216
disconnect_weak,10,pooled_batch16,0.132,5,10,0,17301504,16777216
disconnect_weak,10,unpooled,0.163,17,17,0,17301504,16777216
disconnect_weak,10,pooled,0.155,5,17,0,17301504,16777216
disconnect_weak,10,batched,0.105,8,8,0,17301504,16777216
disconnect_strong,1,unpooled,0.161,17,17,1,16777216,16777216
disconnect_strong,1,pooled,0.150,5,17,1,16777216,16777216
disconnect_strong,1,batched,0.100,8,8,1,16777216,16777216
disconnect_strong,1,pooled_batched,0.099,4,8,1,16777216,16777216
disconnect_strong,1,pooled_batch8,0.125,4,7,1,16777216,16777216
disconnect_strong,1,pooled_batch16,0.128,5,10,1,16777216,16777216
disconnect_strong,2,pooled,0.148,5,17,1,16777216,16777216
disconnect_strong,2,batched,0.101,8,8,1,16777216,16777216
disconnect_strong,2,pooled_batched,0.095,4,8,1,16777216,16777216
disconnect_strong,2,pooled_batch8,0.121,4,10,2,16777216,16777216
disconnect_strong,2,pooled_batch16,0.126,5,10,1,16777216,16777216
disconnect_strong,2,unpooled,0.163,17,17,1,16777216,16777216
disconnect_strong,3,batched,0.099,8,8,1,16777216,16777216
disconnect_strong,3,pooled_batched,0.096,4,8,1,16777216,16777216
disconnect_strong,3,pooled_batch8,0.122,5,10,2,16777216,16777216
disconnect_strong,3,pooled_batch16,0.129,5,10,1,16777216,16777216
disconnect_strong,3,unpooled,0.162,17,17,1,16777216,16777216
disconnect_strong,3,pooled,0.151,5,17,1,16777216,16777216
disconnect_strong,4,pooled_batched,0.098,4,8,1,16777216,16777216
disconnect_strong,4,pooled_batch8,0.096,4,7,1,16777216,16777216
disconnect_strong,4,pooled_batch16,0.132,5,10,1,16777216,16777216
disconnect_strong,4,unpooled,0.164,17,17,1,16777216,16777216
disconnect_strong,4,pooled,0.157,5,17,1,16777216,16777216
disconnect_strong,4,batched,0.105,8,8,1,16777216,16777216
disconnect_strong,5,pooled_batch8,0.103,4,7,1,16777216,16777216
disconnect_strong,5,pooled_batch16,0.133,5,10,1,16777216,16777216
disconnect_strong,5,unpooled,0.161,17,17,1,16777216,16777216
disconnect_strong,5,pooled,0.152,5,17,1,16777216,16777216
disconnect_strong,5,batched,0.097,8,8,1,16777216,16777216
disconnect_strong,5,pooled_batched,0.099,4,8,1,16777216,16777216
disconnect_strong,6,pooled_batch16,0.126,5,10,1,16777216,16777216
disconnect_strong,6,unpooled,0.157,17,17,1,16777216,16777216
disconnect_strong,6,pooled,0.151,5,17,1,16777216,16777216
disconnect_strong,6,batched,0.100,8,8,1,16777216,16777216
disconnect_strong,6,pooled_batched,0.103,4,8,1,16777216,16777216
disconnect_strong,6,pooled_batch8,0.101,4,7,1,16777216,16777216
disconnect_strong,7,unpooled,0.159,17,17,1,16777216,16777216
disconnect_strong,7,pooled,0.158,5,17,1,16777216,16777216
disconnect_strong,7,batched,0.108,8,8,1,16777216,16777216
disconnect_strong,7,pooled_batched,0.106,4,8,1,16777216,16777216
disconnect_strong,7,pooled_batch8,0.102,5,7,1,16777216,16777216
disconnect_strong,7,pooled_batch16,0.129,5,10,1,16777216,16777216
disconnect_strong,8,pooled,0.152,5,17,1,16777216,16777216
disconnect_strong,8,batched,0.104,8,8,1,16777216,16777216
disconnect_strong,8,pooled_batched,0.108,4,8,1,16777216,16777216
disconnect_strong,8,pooled_batch8,0.116,4,7,1,16777216,16777216
disconnect_strong,8,pooled_batch16,0.128,5,10,1,16777216,16777216
disconnect_strong,8,unpooled,0.161,17,17,1,16777216,16777216
disconnect_strong,9,batched,0.104,8,8,1,16777216,16777216
disconnect_strong,9,pooled_batched,0.108,4,8,1,16777216,16777216
disconnect_strong,9,pooled_batch8,0.099,4,7,1,16777216,16777216
disconnect_strong,9,pooled_batch16,0.124,5,10,1,16777216,16777216
disconnect_strong,9,unpooled,0.156,17,17,1,16777216,16777216
disconnect_strong,9,pooled,0.154,5,17,1,16777216,16777216
disconnect_strong,10,pooled_batched,0.100,5,8,1,16777216,16777216
disconnect_strong,10,pooled_batch8,0.098,4,7,1,16777216,16777216
disconnect_strong,10,pooled_batch16,0.129,5,10,1,16777216,16777216
disconnect_strong,10,unpooled,0.164,17,17,1,16777216,16777216
disconnect_strong,10,pooled,0.157,5,17,1,16777216,16777216
disconnect_strong,10,batched,0.102,8,8,1,16777216,16777216
